@relation 'C__Users_frans.DESKTOP-213GP7U_Desktop_p2-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-C-T-I-N1-L-stemmerweka.core.stemmers.LovinsStemmer-stopwords-handlerweka.core.stopwords.WordsFromFile -stopwords /Users/xvenve/Gits/IAO-P2/Recursos/StopWordsEN.txt-M10-tokenizerweka.core.tokenizers.CharacterNGramTokenizer -max 3 -min 1-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.unsupervised.attribute.Remove-V-R11,18,25,28,42,69,82,87,106,136,142,168,237,270,299,304,308,366,378,404,409,412,420,499,516,550,591,636,646,689,697-698,706,770,781,823,825,829,853,855,872,886,897,930,1042,1062,1081,1085,1119,1166,1172-1173,1175-1177,1179,1187,1201,1249,1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute ' b' numeric
@attribute ' d' numeric
@attribute ' f' numeric
@attribute ' g' numeric
@attribute ' n' numeric
@attribute ' w' numeric
@attribute '\'' numeric
@attribute '\'t' numeric
@attribute '. ' numeric
@attribute 'a g' numeric
@attribute abl numeric
@attribute asy numeric
@attribute 'd n' numeric
@attribute e numeric
@attribute ea numeric
@attribute eat numeric
@attribute ed numeric
@attribute fa numeric
@attribute fo numeric
@attribute gif numeric
@attribute gr numeric
@attribute h numeric
@attribute har numeric
@attribute joy numeric
@attribute l numeric
@attribute lov numeric
@attribute n numeric
@attribute nn numeric
@attribute o numeric
@attribute ood numeric
@attribute ot numeric
@attribute 'ot ' numeric
@attribute ov numeric
@attribute re numeric
@attribute ric numeric
@attribute 's y' numeric
@attribute 's!\r' numeric
@attribute 's.\r' numeric
@attribute siz numeric
@attribute sl numeric
@attribute 'sy ' numeric
@attribute 't w' numeric
@attribute tab numeric
@attribute u numeric
@attribute ' ok' numeric
@attribute bac numeric
@attribute etu numeric
@attribute gn numeric
@attribute nsw numeric
@attribute urn numeric
@attribute '\nb' numeric
@attribute '\ng' numeric
@attribute '\nn' numeric
@attribute '\nth' numeric
@attribute '\nw' numeric
@attribute '\r\ng' numeric
@attribute cen numeric
@attribute ttl numeric
@attribute nth numeric
@attribute @@class@@ {excellent,fair,good,poor,verygood}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,1.028381,0.642613,0.816625,0,0,0,0,0.216412,1.44907,0,0,0,0.003148,0.501203,1.462317,0,0,0.570171,2.318308,2.025106,0.079838,0,0,0.057686,0,0.020745,0,0.007091,0,0,0,0,0.40604,1.23149,0,0,1.72577,0,0,0,0,0,0.096534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster2
0.20489,0.924536,0.532272,0.607217,0.56359,0.582679,0.536719,0.779044,0.415966,1.077484,0,0,0,0.003135,0.235134,0,0.869997,0,0.691452,0,0,0.093871,0,0,0.074193,0,0.038023,0,0.007329,0.908742,0.385335,0,0,0.271197,0,0,0,0,1.827139,0,0,0,0,0.143559,0,0,1.379995,0,0,1.275412,0,0,0,0,0,0,0,0,0,fair,cluster3
0.513081,0.555215,0.40114,0.44089,0.495827,0.386515,0,0,0.357597,0,0.838405,0,0,0.002247,0.32787,0.411985,0.202116,1.635186,0.372987,0,0,0.071302,1.792995,0,0.069887,0,0.031908,0,0.006074,0,0.53731,0.516464,0,0.233004,0,0,0,0,0,0,0,0.614747,0.93463,0.121282,0,0,0,0,0,0,0,0,0,0,3.511452,0,0,0,0,good,cluster3
0.466829,0.750351,0.396248,0,0.553034,0.553923,1.053333,0.764453,0.366641,0,0,0,0,0.002969,0,0,0,0.951747,0.26248,0,0,0.092113,2.523551,0,0.072804,0,0.0382,0,0.008009,0,0.378118,0.532443,1.101417,0.343832,0,0,0,0,0,0,0,0,0,0.124758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster3
0.563092,0.389796,0.477956,0.490597,0,0.523219,0,0,0.380929,0,1.15501,0,0,0.003217,0,0,0,1.148003,0.316605,0,0,0.090298,0,0,0.093934,0,0.046077,0,0.008837,0,0.456089,0,0,0.219112,0,0,0,0,0,0,0,0.764453,1.349313,0.150483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster3
0,0,0.520655,0.631064,0,0.491109,0,0,0.307731,0,0.507078,0,0,0.003102,0.449659,0.827736,0,0,0.645485,0,1.240188,0.083128,0,0,0.085961,0,0.035228,0,0.008074,0,0,0,0,0.364283,1.104842,0,0,0,0,0,0,0,0.592382,0.126875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster2
0,0.945003,0.41275,0,0,0,0,0,0.291334,0,0.760876,0,0,0.003798,0.674718,0,0.609328,0,0.484278,0,0,0.0659,0,0,0.10037,0,0.058532,2.299744,0.008225,0,0.697632,0.982361,0,0.593637,0,0,0,0,0,0,0,0,0.888875,0.190378,0,0,2.498417,0,0,2.309075,0,0,0,0,0,0,0,0,0,fair,cluster3
0.181357,1.008431,0.357431,0,0,0,0.752975,1.092939,0.368191,0,0.371999,1.789306,0,0.00231,0.720005,0,0,0.858514,0.375268,0,0,0.070323,0,0,0.072277,0,0.029801,0,0.006723,1.274895,0,0,0,0.240049,0,0,0,0,0,0,1.807665,0,0,0.143708,0,0,0,0,0,0,0,4.45914,0,0,0,3.043836,0,0,0,good,cluster3
0.531059,0,0.372824,0.462688,0.629125,0.557184,0,0,0.464336,0,0,0,0,0.002995,0,0,1.190932,0,0.298595,0,0,0.085162,1.435381,0,0.06721,0,0.037583,0,0.00726,0,0.430143,0.605701,0,0.366023,0,0,0,0,0,0,0,0.720965,0,0.167936,0,0,1.540464,0,0,1.423721,0,0,0,0,0,0,0,0,2.700151,poor,cluster3
0,1.148072,0,0,0,0,0,0,0.353938,0,0,2.805266,0,0.002574,1.034354,0,0,0,0,0,0,0,0,0,0.094344,0,0.021406,0,0.008976,1.998776,0,0,0,0,0,0,0,0,0,0,2.83405,0,0,0.19922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster1
